申報工廠名稱,申報產品名稱,申報資料是否完整,備註
美光生醫科技股份有限公司,荷荷巴油及其餾分物(AW 08G97Z1193)," ■是
 □否，原因：",
艾杰旭顯示玻璃股份有限公司台南廠,"粗製甘油；甘油水溶液及甘油鹼液(BC 10171E0434),粗製甘油；甘油水溶液及甘油鹼液(BC 09171Y0621),粗製甘油；甘油水溶液及甘油鹼液(BC 09171Y0621)"," ■是
 □否，原因：",
永捷創新科技股份有限公司,"其他沸製、氧化、脫水、硫化、吹製，在真空中或惰性氣體中行聚合化或經其他化學方法改質之動、植物油脂及其餾分物，但不包括第１５１６節所列產品　(BD  07296W0256),蓖麻油及其餾分物　(BD09257G2177	)"," ■是
 □否，原因：",
雅儷化粧品股份有限公司工廠,"蜂蠟（黃蠟），無論已否精製或著色(AA 09388PA135),蜂蠟（黃蠟），無論已否精製或著色(AA 09388PA023),蓖麻油及其餾分物　(BD 06257G4093)"," ■是
 □否，原因：",
辰陵有限公司官田廠,第0209或1503節除外之熟豬油(AA09193Y0857)," ■是
 □否，原因：",
和明紡織股份有限公司,蜂蠟（黃蠟），無論已否精製或著色(BC  09070P0697)," ■是
 □否，原因：",
宥盛科技股份有限公司,其他固定性植物油脂及其餾分物(AW 09G97H0393)," ■是
 □否，原因：",
好思佳粧業股份有限公司,"其他可食用動植物油脂混合品或調製品，第１５１６節食用油脂或其餾分物除外　(AW  09G97V2537),其他可食用動植物油脂混合品或調製品，第１５１６節食用油脂或其餾分物除外　(AW 08G97M0592),植物蠟，不論已否精製或著色(BC 08266Y0466),蜂蠟（黃蠟），無論已否精製或著色(BC 09280KK033),精製葵花子油及其餾分物(AA  09G97H0427),蓖麻油及其餾分物　(AW09F12A1110),其他固定性植物油脂及其餾分物(AA?09G97M1243),其他固定性植物油脂及其餾分物(CA? 0812900584),其他固定性植物油脂及其餾分物(AA 08G97P2549)"," ■是
 □否，原因：",
南寶樹脂化學工廠股份有限公司第一廠,"蓖麻油及其餾分物　(DA 09167Y1250),蓖麻油及其餾分物　(BD 09099W0018),蓖麻油及其餾分物　(CG0903501200)"," ■是
 □否，原因：",
鈮豪企業股份有限公司安和廠,"植物蠟，不論已否精製或著色(AWBE09388PA149),植物蠟，不論已否精製或著色(AA 09388PA023),蜂蠟（黃蠟），無論已否精製或著色(BC 09280KK033),蜂蠟（黃蠟），無論已否精製或著色(AA09388PA135),蜂蠟（黃蠟），無論已否精製或著色(AA  09388PA135),其他固定性植物油脂及其餾分物(CH  0912900157)"," ■是
 □否，原因：",
